iter	Passed	Remaining
0	1	172
1	3	171
2	5	161
3	6	147
4	7	147
5	9	153
6	11	157
7	13	159
8	15	160
9	17	161
10	19	158
11	21	156
12	24	162
13	26	161
14	27	157
15	29	153
16	31	151
17	32	149
18	35	150
19	38	152
20	39	149
21	41	145
22	42	142
23	44	139
24	45	136
25	47	133
26	48	131
27	50	129
28	51	127
29	54	127
30	56	125
31	57	122
32	59	120
33	60	117
34	62	116
35	66	117
36	67	115
37	69	112
38	70	110
39	72	108
40	73	105
41	74	102
42	76	100
43	77	98
44	79	96
45	80	94
46	82	92
47	83	90
48	85	88
49	86	86
50	88	84
51	89	83
52	91	81
53	93	79
54	94	77
55	97	76
56	98	74
57	100	72
58	101	70
59	103	68
60	104	66
61	106	65
62	109	64
63	110	62
64	112	60
65	114	58
66	115	57
67	117	55
68	118	53
69	120	51
70	121	49
71	123	47
72	124	46
73	126	44
74	128	42
75	129	41
76	131	39
77	133	37
78	135	35
79	136	34
80	138	32
81	139	30
82	141	28
83	142	27
84	144	25
85	145	23
86	147	21
87	149	20
88	152	18
89	154	17
90	155	15
91	157	13
92	159	11
93	160	10
94	162	8
95	163	6
96	165	5
97	166	3
98	168	1
99	169	0
